stop_id,stop_name,bus_route_numbers,bus_route_names,directions,route_direction_pairs,eastbound_southbound_routes,westbound_northbound_routes,route_count
6699,Pharmacy Ave at Ellesmere Rd,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
9827,Pharmacy Ave at Ellesmere Rd South Side,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
6701,Pharmacy Ave at Elm Bank Rd,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
6703,Pharmacy Ave at Finch Ave East,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,167,,1
6704,Pharmacy Ave at Finch Ave East,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,,167,1
6702,Pharmacy Ave at Finch Ave East North Side,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,167,,1
6705,Pharmacy Ave at Florens Ave,67,67 - Pharmacy,SOUTHBOUND,67:SOUTHBOUND,67,,1
6707,Pharmacy Ave at Glendinning Ave,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,167,,1
8034,Pharmacy Ave at Gordon Baker Rd,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,,167,1
6708,Pharmacy Ave at Gordon Baker Rd South Side,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,,167,1
6710,Pharmacy Ave at Holswade Rd South Side,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
6711,Pharmacy Ave at Huntingdale Blvd,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,167,,1
6712,Pharmacy Ave at Huntingwood Dr,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,167,,1
6713,Pharmacy Ave at Huntingwood Dr,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,,167,1
14876,Pharmacy Ave at Innisdale Dr,67,67 - Pharmacy,SOUTHBOUND,67:SOUTHBOUND,67,,1
6714,Pharmacy Ave at Innismore Cres,67,67 - Pharmacy,SOUTHBOUND,67:SOUTHBOUND,67,,1
6715,Pharmacy Ave at Innismore Cres,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
6718,Pharmacy Ave at Janet Blvd,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
6719,Pharmacy Ave at Kellyvale Rd,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
6720,Pharmacy Ave at Kellyvale Rd,67,67 - Pharmacy,SOUTHBOUND,67:SOUTHBOUND,67,,1
15368,Pharmacy Ave at Knightsbridge Rd,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
15439,Pharmacy Ave at Knightsbridge Rd,67,67 - Pharmacy,SOUTHBOUND,67:SOUTHBOUND,67,,1
6722,Pharmacy Ave at Lawrence Ave East,67,67 - Pharmacy,SOUTHBOUND,67:SOUTHBOUND,67,,1
6723,Pharmacy Ave at Lawrence Ave East,67,67 - Pharmacy,NORTHBOUND,67:NORTHBOUND,,67,1
6726,Pharmacy Ave at McNicoll Ave,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,167,,1
6727,Pharmacy Ave at McNicoll Ave,167,167 - Pharmacy North,NORTHBOUND,167:NORTHBOUND,,167,1
